RICO_scannet_1_2024_04_24_22_01_38 [107] (0/465): loss = 0.10410798341035843, rgb_loss = 0.06509648263454437, eikonal_loss = 0.05676794797182083, bg_render_loss = 0.0, lop_loss = 4.068415364599787e-05, lrd_loss = 4.1818650061031803e-05, semantic_loss = 0.06055569648742676, smooth_loss = 0.0, depth_loss = 0.09766557812690735, normal_l1 = 0.4065091907978058, normal_cos = 0.07301224023103714, psnr = 20.689062118530273
RICO_scannet_1_2024_04_24_22_01_38 [107] (1/465): loss = 0.10874947905540466, rgb_loss = 0.07140564173460007, eikonal_loss = 0.05419440567493439, bg_render_loss = 0.0, lop_loss = 3.8456513721030205e-05, lrd_loss = 1.552009598526638e-05, semantic_loss = 0.09853408485651016, smooth_loss = 0.0, depth_loss = 0.08591008186340332, normal_l1 = 0.39078783988952637, normal_cos = 0.051138922572135925, psnr = 19.551637649536133
RICO_scannet_1_2024_04_24_22_01_38 [107] (2/465): loss = 0.07959415763616562, rgb_loss = 0.034719303250312805, eikonal_loss = 0.037276238203048706, bg_render_loss = 0.0, lop_loss = 9.408358164364472e-05, lrd_loss = 9.406761091668159e-05, semantic_loss = 0.09517277777194977, smooth_loss = 0.0, depth_loss = 0.1092204675078392, normal_l1 = 0.4645344018936157, normal_cos = 0.10073093324899673, psnr = 22.70550537109375
RICO_scannet_1_2024_04_24_22_01_38 [107] (3/465): loss = 0.08811881393194199, rgb_loss = 0.048328496515750885, eikonal_loss = 0.03461463376879692, bg_render_loss = 0.0, lop_loss = 0.00013651208428200334, lrd_loss = 0.000919253274332732, semantic_loss = 0.16534146666526794, smooth_loss = 0.0, depth_loss = 0.0779494047164917, normal_l1 = 0.3977314531803131, normal_cos = 0.07317670434713364, psnr = 20.47272491455078
RICO_scannet_1_2024_04_24_22_01_38 [107] (4/465): loss = 0.12198829650878906, rgb_loss = 0.06609199941158295, eikonal_loss = 0.06875406205654144, bg_render_loss = 0.0, lop_loss = 9.005501487990841e-05, lrd_loss = 2.308872171852272e-05, semantic_loss = 0.14811085164546967, smooth_loss = 0.0, depth_loss = 0.10906533896923065, normal_l1 = 0.5512495040893555, normal_cos = 0.16107669472694397, psnr = 20.46553611755371
RICO_scannet_1_2024_04_24_22_01_38 [107] (5/465): loss = 0.0869431123137474, rgb_loss = 0.032719746232032776, eikonal_loss = 0.030332215130329132, bg_render_loss = 0.09840687364339828, lop_loss = 9.443110320717096e-05, lrd_loss = 0.0002523578586988151, semantic_loss = 0.05529220029711723, smooth_loss = 0.0, depth_loss = 0.3057820498943329, normal_l1 = 0.18012163043022156, normal_cos = 0.020708361640572548, psnr = 24.70878028869629
RICO_scannet_1_2024_04_24_22_01_38 [107] (6/465): loss = 0.05381195619702339, rgb_loss = 0.027942240238189697, eikonal_loss = 0.029764361679553986, bg_render_loss = 0.0, lop_loss = 3.034049950656481e-05, lrd_loss = 0.0, semantic_loss = 0.036382488906383514, smooth_loss = 0.0, depth_loss = 0.10305581241846085, normal_l1 = 0.21909281611442566, normal_cos = 0.03325888514518738, psnr = 26.751117706298828
RICO_scannet_1_2024_04_24_22_01_38 [107] (7/465): loss = 0.06420142203569412, rgb_loss = 0.03854425624012947, eikonal_loss = 0.03615417703986168, bg_render_loss = 0.0, lop_loss = 0.00011629377695498988, lrd_loss = 0.0002928379981312901, semantic_loss = 0.06328048557043076, smooth_loss = 0.0, depth_loss = 0.06311137229204178, normal_l1 = 0.2623274028301239, normal_cos = 0.03699635714292526, psnr = 21.6792049407959
RICO_scannet_1_2024_04_24_22_01_38 [107] (8/465): loss = 0.04848429188132286, rgb_loss = 0.019215544685721397, eikonal_loss = 0.032114267349243164, bg_render_loss = 0.0, lop_loss = 0.00019746973703149706, lrd_loss = 6.654047319898382e-05, semantic_loss = 0.09089144319295883, smooth_loss = 0.0, depth_loss = 0.06352732330560684, normal_l1 = 0.30978310108184814, normal_cos = 0.04318171739578247, psnr = 30.1453857421875
RICO_scannet_1_2024_04_24_22_01_38 [107] (9/465): loss = 0.07770177721977234, rgb_loss = 0.052268825471401215, eikonal_loss = 0.03505648300051689, bg_render_loss = 0.0, lop_loss = 0.0001687399490037933, lrd_loss = 2.500101072655525e-05, semantic_loss = 0.09972923249006271, smooth_loss = 0.0, depth_loss = 0.04836568981409073, normal_l1 = 0.26001089811325073, normal_cos = 0.03668927401304245, psnr = 21.44873809814453
RICO_scannet_1_2024_04_24_22_01_38 [107] (10/465): loss = 0.032221246510744095, rgb_loss = 0.01406695507466793, eikonal_loss = 0.026109101250767708, bg_render_loss = 0.0, lop_loss = 5.731514829676598e-05, lrd_loss = 0.0010382895125076175, semantic_loss = 0.021080583333969116, smooth_loss = 0.0, depth_loss = 0.032358407974243164, normal_l1 = 0.23628805577754974, normal_cos = 0.016916178166866302, psnr = 32.311546325683594
RICO_scannet_1_2024_04_24_22_01_38 [107] (11/465): loss = 0.09756621718406677, rgb_loss = 0.07651646435260773, eikonal_loss = 0.02284146472811699, bg_render_loss = 0.0, lop_loss = 6.548305100295693e-05, lrd_loss = 0.0002756051835604012, semantic_loss = 0.03471839427947998, smooth_loss = 0.0, depth_loss = 0.03804176300764084, normal_l1 = 0.26445239782333374, normal_cos = 0.029160765931010246, psnr = 19.733924865722656
RICO_scannet_1_2024_04_24_22_01_38 [107] (12/465): loss = 0.07519681751728058, rgb_loss = 0.03924868628382683, eikonal_loss = 0.036292240023612976, bg_render_loss = 0.0, lop_loss = 0.0003014537796843797, lrd_loss = 0.0014643344329670072, semantic_loss = 0.17989234626293182, smooth_loss = 0.0, depth_loss = 0.0818367749452591, normal_l1 = 0.3234531879425049, normal_cos = 0.04809832572937012, psnr = 23.314504623413086
RICO_scannet_1_2024_04_24_22_01_38 [107] (13/465): loss = 0.05667434632778168, rgb_loss = 0.029135799035429955, eikonal_loss = 0.03225158154964447, bg_render_loss = 0.0, lop_loss = 9.45677820709534e-05, lrd_loss = 0.00025353292585350573, semantic_loss = 0.07960669696331024, smooth_loss = 0.0, depth_loss = 0.05402988940477371, normal_l1 = 0.3040701746940613, normal_cos = 0.04200776666402817, psnr = 25.40036964416504
RICO_scannet_1_2024_04_24_22_01_38 [107] (14/465): loss = 0.12653692066669464, rgb_loss = 0.06960844248533249, eikonal_loss = 0.05834882706403732, bg_render_loss = 0.0, lop_loss = 2.630501148814801e-05, lrd_loss = 3.22291430165933e-06, semantic_loss = 0.13436096906661987, smooth_loss = 0.0, depth_loss = 0.17135009169578552, normal_l1 = 0.5259448885917664, normal_cos = 0.10402795672416687, psnr = 20.017017364501953
RICO_scannet_1_2024_04_24_22_01_38 [107] (15/465): loss = 0.07860720902681351, rgb_loss = 0.026067856699228287, eikonal_loss = 0.03489052876830101, bg_render_loss = 0.16646309196949005, lop_loss = 6.653578748228028e-05, lrd_loss = 0.00028007591026835144, semantic_loss = 0.06959839910268784, smooth_loss = 0.0, depth_loss = 0.042269304394721985, normal_l1 = 0.4536757469177246, normal_cos = 0.08838397264480591, psnr = 27.059045791625977
RICO_scannet_1_2024_04_24_22_01_38 [107] (16/465): loss = 0.10570967197418213, rgb_loss = 0.06342273205518723, eikonal_loss = 0.05109916627407074, bg_render_loss = 0.0, lop_loss = 3.760226945814793e-06, lrd_loss = 0.0, semantic_loss = 0.004634838551282883, smooth_loss = 0.0, depth_loss = 0.12990702688694, normal_l1 = 0.46621641516685486, normal_cos = 0.06489364802837372, psnr = 19.57472801208496
RICO_scannet_1_2024_04_24_22_01_38 [107] (17/465): loss = 0.046661436557769775, rgb_loss = 0.025860927999019623, eikonal_loss = 0.026243343949317932, bg_render_loss = 0.0, lop_loss = 8.858053479343653e-05, lrd_loss = 9.102664625970647e-05, semantic_loss = 0.10561846196651459, smooth_loss = 0.0, depth_loss = 0.03024492785334587, normal_l1 = 0.22341196238994598, normal_cos = 0.02101098746061325, psnr = 27.508235931396484
RICO_scannet_1_2024_04_24_22_01_38 [107] (18/465): loss = 0.10134226828813553, rgb_loss = 0.060805365443229675, eikonal_loss = 0.039536476135253906, bg_render_loss = 0.0, lop_loss = 3.0810883799858857e-07, lrd_loss = 0.0, semantic_loss = 0.0020370727870613337, smooth_loss = 0.0, depth_loss = 0.18476398289203644, normal_l1 = 0.3468548655509949, normal_cos = 0.053188495337963104, psnr = 20.744253158569336
